Job_title; Salary; Company 
DevOps Engineer KnownOrigin;Competitive + Benefits;eBay
Engineer - Java - Customer & Data;Competitive plus benefits;Sainsbury's
DevOps Engineer, £475 - £525 inside IR35, 6 Months;£475 - £525 per day + Rolling Contract;IO Associates
Junior Developer in Test KnownOrigin;Competitive + Benefits;eBay
SQL Developer;£510 - £560 per day;Reed Technology
QA Automation Test Engineer;£35000 - £50000 per annum;Chroma Recruitment Ltd
Applications Engineer (Mechanical);£30000 - £35000 per annum;Reed Engineering
QA Release Officer/Pharmacy Technician, Pharmaceutical;£25000 - £30000 per annum;Russell Taylor Group Ltd
Java Developer - AWS - Inside IR35 - 1 day Manchester;£500 - 510 per day;The Bridge (IT Recruitment) Limited
DevOps Engineer;£60000 - £75000 per annum;Talent Hub
Embedded Software Engineer;£45 - £50 per hour;KO2 Embedded Recruitment Solutions LTD
Full Stack Developer - Huddersfield/Remote - Up to £55k;£30000 - £55000 per annum + Flexible hours, Remote work, Pension;Oscar Associates (UK) Limited
PHP Developer - Liverpool - Junior / Mid Level;£25000 - £35000 per annum;Senitor Associates Limited
QA Automation Test Engineer Java;500-550pd;Interact Consulting Limited
AWS Cloud Engineer;From £75,000 to £85,000 per annum Plus good benefits;Essential Recruitment
Senior PHP Developer - Manchester / Hybrid;£45000 - £55000 per annum;Senitor Associates Limited
Software Test Analyst;Competitive salary and excellent benefits;Erin Associates
Mobile App Tester;From £35,000 to £45,000 per annum Competitive Base Salary, Group Pensi;Mindtree Limited
PHP Developer;£35000 - £60000 per annum;Senitor Associates Limited
Junior AWS Engineer;£45,000;Shortlist Recruitment
Junior Software Developer;£28000 - £32000 per annum;ITECCO Limited
Junior C++ Developer;£26k-£28K base + benefits;GMA Consulting
Junior C# Automation Developer;£23000 - £26000 per annum + Pension, Holiday, Life Insurance;Sparta Global
.NET Developer - Fastest-Growing Internet Co Ever - Manchester;£50000 - £70000 per annum + Bonus + Pension + Benefits;Noir
.NET Developer, C# - Mobile Telecommunications - Manchester;£60000 - £80000 per annum + Bonus + Pension + Benefits;Noir
Graduate Software Engineer Java;£21000 - £32000 per annum + Benefits;Ascent People Ltd
Principal Mobile Software Engineer;Competitive Salary + Benefits;BBC
Senior Frontend Engineer (Web3/NFTs);£60k - 70k per year + benefits;ECOM Manchester
Senior Embedded Software Engineer;£60000 - £90000 per annum;Sanderson Recruitment
Web Developer;Unspecified;Mativ
Senior Front End Developer Angular;£50000 - £70000 per annum;Michael Page Technology
Senior Front End Developer (Angular, .NET and C#);Unspecified;Michael Page Technology
Senior Front End Developer(React);Unspecified;Michael Page Technology
.Net Developer Work from Home UK Wide;£45K - £50K Basic + Benefits Package + Home office setup budget;Hireful Agency
Software Test Engineer;£30 - £35 per hour;Manpower
.NET Developer;Up to £450 per day Outside IR35;Essential Recruitment
.NET Developer;From £50,000 to £55,000 per annum Plus benefits;Essential Recruitment
Junior / Graduate Java Software Developer;£23000 - £26000 per annum + Pension, Holiday, Life Insurance;Sparta Global
Junior Java Automation Developer;£23000 - £26000 per annum + Pension, Holiday, Life Insurance;Sparta Global
Junior / Graduate C# Software Developer;£23000 - £26000 per annum + Pension, Holiday, Life Insurance;Sparta Global
SQL Developer;£475 - 500 per day;IQ Talent Solutions
SQL Developer - Software House, Fast-Track to Lead DBA;Up to £40,000 per annum Bonus, Pension;Nixor Resource Ltd
Full Stack Developer (React) - Leeds;Unspecified;William Hill
Full Stack Developer (NodeJs) - Leeds;Unspecified;William Hill
Full Stack Developer (Javascript) - Leeds;Unspecified;William Hill
Full Stack Developer - Leeds;Unspecified;William Hill
Platform / DevOps Engineer x6;£45000 - £110000 per annum;Deerfoot I.T. Resources Limited
Machine Learning & AI Engineer;Competitive;Airship Interactive Ltd
Java Developer;£80000 - £100000 per annum, Benefits Options.8% pension.Life assurance;Exposed Solutions
C# .net Developer;£60000 - £100000 per annum, Benefits Options.8% pension.Life assurance;Exposed Solutions
.NET Developer - Knutsford;£50000 - £85000 per annum + Bonus + Pension + Benefits;Noir
.NET Developer, .NET 7, C#, Agile - Warrington;£30000 - £50000 per annum + Bonus + Pension + Benefits;Noir
.NET Developer - Europe's Largest Radio Station Group - Bolton;£45000 - £55000 per annum + Bonus + Pension + Benefits;Noir
.NET Developer, .NET 7, C# - Global Record Label - Salford;£45000 - £70000 per annum + Bonus + Pension + Benefits;Noir
.NET Developer, C# - Global Technology Brand - Warrington;£50000 - £85000 per annum + Bonus + Pension + Benefits;Noir
.NET Developer, .NET 7 - Social Networking Site - Preston;£35000 - £65000 per annum + Bonus + Pension + Benefits;Noir
.NET Developer - Software House - Knowsley;£45000 - £55000 per annum + Bonus + Pension + Benefits;Noir
.NET Developer - Bolton;£50000 - £60000 per annum + Bonus + Pension + Benefits;Noir
.NET Developer, .NET 7 - Social Networking Site - Chorley;£30000 - £50000 per annum + Bonus + Pension + Benefits;Noir
.NET Developer, .NET 7, C# - Global Record Label - Bradford;£45000 - £70000 per annum + Bonus + Pension + Benefits;Noir
.NET Developer - Global Sports Company - Stockport;£30000 - £45000 per annum + Bonus + Pension + Benefits;Noir
.NET Developer - Preston;£30000 - £55000 per annum + Bonus + Pension + Benefits;Noir
.NET Developer, .NET 7, C#, Agile - Wilmslow;£45000 - £60000 per annum + Bonus + Pension + Benefits;Noir
.NET Developer - Fastest Growing Social Media Firm - Todmorden;£35000 - £50000 per annum + Bonus + Pension + Benefits;Noir
